,Numero_linea_1,Catalogo_1,Clasificacion,Identificacion,Año,Dia,Fraccion_dia,Signo_derivada_1,Derivada_1,Signo_derivada_2,Derivada_2,Exponente,Signo_BSTAR,BSTAR,Exponente_BSTAR,Efemerides,Numero_elemento,Checksum_1,Numero_linea_2,Catalogo_2,Inclinacion,Ascencion,Excentricidad,Perigeo,Anomalia_media,Revoluciones_dia,Revoluciones_epoch,Checksum_2,Periodo,Semieje_mayor,Semieje_menor
1484,1,44307,U,19031A,23,333,.75762455, ,.00000129, ,00000,+0, ,00000,+0,0, 999,7,2,44307,0.0169,325.4198,0.0002967,282.296,142.404,1.00272253,1658.0,8,86165.4120806481,42164.6133946338,42164.4728335924
1485,1,44310,U,19032A,23,334,.46417863, ,.00007497, ,00000,+0, ,54342,-3,0, 999,8,2,44310,44.9821,0.4393,0.0010893,42.4439,317.7276,15.04454032,24615.0,7,5742.9471530706,6931.3211735991,6931.2980671683
1486,1,44311,U,19032B,23,334,.44769121, ,.00011480, ,00000,+0, ,74404,-3,0, 999,2,2,44311,44.9765,334.1487,0.0013033,58.3072,301.9072,15.08181209,24646.0,4,5728.7545743451,6919.8968552947,6919.8737869483
1487,1,44312,U,19032C,23,334,.42730830, ,.00010379, ,00000,+0, ,68072,-3,0, 999,6,2,44312,44.9857,333.6791,0.0012159,56.0743,304.1286,15.0783806,24647.0,3,5730.0583061287,6920.9466875865,6920.9236157403
1488,1,44313,U,19032D,23,334,.39778758, ,.00018065, ,00000,+0, ,10456,-2,0, 999,6,2,44313,44.9944,327.0383,0.0013479,57.3656,302.852,15.1197838,24657.0,0,5714.3674236929,6908.3062829508,6908.283253243
1489,1,44314,U,19032E,23,334,.47845655, ,.00011756, ,00000,+0, ,75970,-3,0, 999,0,2,44314,44.9849,332.3527,0.0013261,57.6858,302.5299,15.08266516,24649.0,8,5728.4305580911,6919.6359282858,6919.6128608092
1490,1,44322,U,19033A,23,334,.77132466, ,.00003079, ,00000,+0, ,30471,-3,0, 999,8,2,44322,97.7597,339.5039,0.0001655,91.7535,268.3874,14.92595357,24344.0,5,5788.5748870114,6967.9856433845,6967.9624147281
1491,1,44323,U,19033B,23,334,.79393328, ,.00002105, ,00000,+0, ,21002,-3,0, 999,6,2,44323,97.7597,339.6228,0.0001564,88.4702,271.6697,14.92596088,24346.0,9,5788.5720520527,6967.9833683336,6967.9601396847
1492,1,44324,U,19033C,23,334,.81614627, ,.00002647, ,00000,+0, ,26274,-3,0, 999,5,2,44324,97.7594,339.5959,0.0001498,90.2341,269.905,14.92593192,24345.0,8,5788.5832833143,6967.9923814049,6967.969152726
1493,1,44333,U,19034A,23,334,.44406256,-,.00000107, ,00000,+0, ,00000,+0,0, 999,7,2,44333,0.0173,328.7808,6.52e-05,163.9585,355.3227,1.00271335,1630.0,5,86166.200938683,42164.8707433968,42164.7301814975
1494,1,44334,U,19034B,23,334,.75204782, ,.00000057, ,00000,+0, ,00000,+0,0, 999,5,2,44334,0.065,195.5214,0.0003333,38.7182,112.8718,1.0027127,1681.0,3,86166.2567951917,42164.8889654079,42164.7484034478
1495,1,44337,U,19035A,23,333,.45674497,-,.00000061, ,00000,+0, ,00000,+0,0, 999,5,2,44337,55.1576,167.0323,0.0033107,194.2819,347.0374,1.00247851,1636.0,4,86186.386179989,42171.455497471,42171.3149136205
1496,1,44339,U,19036A,23,334,.65536576, ,.00013833, ,00000,+0, ,26397,-2,0, 999,6,2,44339,24.0015,64.1082,0.0008813,307.0362,52.9325,14.62291773,23605.0,3,5908.533549549,7063.9228441329,7063.8992956577
1497,1,44340,U,19036B,23,334,.56772578, ,.00009955, ,00000,+0, ,20418,-2,0, 999,0,2,44340,24.0013,80.5483,0.0009407,270.3851,89.5563,14.58771973,23588.0,5,5922.7899630068,7075.2810769939,7075.2574906546
